Loading data...
Vocabulary Size: 126197
Train/Dev split: 85710/9523
Writing to /home/cuizy/Downloads/cnn-text-classification-tf-master/runs/1541326160

2018-11-04T05:09:24.061990: step 1, loss 3.26253, acc 0.5
2018-11-04T05:09:24.709046: step 2, loss 2.63155, acc 0.546875
2018-11-04T05:09:25.403178: step 3, loss 2.19321, acc 0.421875
2018-11-04T05:09:26.113650: step 4, loss 2.57298, acc 0.421875
2018-11-04T05:09:26.794483: step 5, loss 2.83944, acc 0.515625
2018-11-04T05:09:27.476990: step 6, loss 2.49559, acc 0.5
2018-11-04T05:09:28.154466: step 7, loss 2.61242, acc 0.515625
2018-11-04T05:09:28.887340: step 8, loss 2.11524, acc 0.546875
2018-11-04T05:09:29.622492: step 9, loss 2.16431, acc 0.578125
2018-11-04T05:09:30.541514: step 10, loss 2.16333, acc 0.40625
2018-11-04T05:09:31.472376: step 11, loss 1.47179, acc 0.609375
2018-11-04T05:09:32.138619: step 12, loss 1.60705, acc 0.546875
2018-11-04T05:09:32.836130: step 13, loss 2.52035, acc 0.46875
2018-11-04T05:09:33.500070: step 14, loss 2.09252, acc 0.515625
2018-11-04T05:09:34.159536: step 15, loss 2.37581, acc 0.484375
2018-11-04T05:09:34.797137: step 16, loss 2.12164, acc 0.4375
2018-11-04T05:09:35.438325: step 17, loss 1.91908, acc 0.40625
2018-11-04T05:09:36.161261: step 18, loss 1.91311, acc 0.5625
2018-11-04T05:09:36.878017: step 19, loss 1.8245, acc 0.484375
2018-11-04T05:09:37.550457: step 20, loss 1.54922, acc 0.53125
2018-11-04T05:09:38.233883: step 21, loss 2.01901, acc 0.40625
2018-11-04T05:09:38.903085: step 22, loss 1.80215, acc 0.5625
2018-11-04T05:09:39.578334: step 23, loss 1.97475, acc 0.515625
2018-11-04T05:09:40.387481: step 24, loss 2.24308, acc 0.5
2018-11-04T05:09:41.203777: step 25, loss 1.9476, acc 0.515625
2018-11-04T05:09:41.871686: step 26, loss 2.538, acc 0.484375
2018-11-04T05:09:42.610710: step 27, loss 2.03085, acc 0.453125
2018-11-04T05:09:43.709420: step 28, loss 1.80293, acc 0.546875
2018-11-04T05:09:44.585313: step 29, loss 2.39455, acc 0.546875
2018-11-04T05:09:45.249307: step 30, loss 1.33114, acc 0.546875
2018-11-04T05:09:45.917238: step 31, loss 1.38726, acc 0.46875
2018-11-04T05:09:46.594348: step 32, loss 2.44897, acc 0.421875
2018-11-04T05:09:47.339750: step 33, loss 2.05526, acc 0.546875
